ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target,total_age_in_months,stability_index,profit_ratio,country_x_cashflow,country_x_insurance,log_turnover,log_expenses,log_income,income_stability,maturity
ID_CBJS4T,malawi,0.022132413363607568,yes,no,no,no,yes,0.40304600309934807,0,have now,no,no,female,"yes, sometimes",yes,never had,no,don?t know / doesn?t apply,yes,no,no,yes,no,no,never had,never had,never had,yes,0.0,0,0,yes,never had,never had,Low,4.836552037192177,0.15818072392389437,0.15640803048463403,malawi_no,malawi_no,0.8987381797244187,0.7286518299978535,0.30390756001251784,0.17580611360755927,2.547245370024713
ID_KJ6SZX,lesotho,1.0737110034258723,yes,no,no,no,no,0.40304600309934807,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,no,yes,no,yes,used to have but don't have now,used to have but don't have now,have now,no,0.0,0,0,no,used to have but don't have now,used to have but don't have now,Low,4.836552037192177,-0.1139736200159047,-0.09153240043631228,lesotho_yes,lesotho_no,-0.1634649848457764,-0.07588240395753987,-0.1051905279742668,-0.11382807602056919,5.78164924309894
ID_DITN5K,eswatini,-0.4285441252345059,yes,yes,no,no,no,-0.5223214503403844,0,have now,yes,yes,female,no,yes,never had,"yes, sometimes",no,yes,no,yes,yes,yes,yes,used to have but don't have now,never had,never had,no,2.0,0,0,yes,never had,never had,Low,-4.267857404084612,-0.11563124230084937,-0.0919208600014928,eswatini_yes,eswatini_no,-0.1638031515478521,-0.0758647493775047,-0.1067154694629217,-0.11547602950005251,-5.103890802727468
ID_RNUTPC,zimbabwe,-0.052980343069411344,yes,no,no,no,yes,-0.39012609984899393,0,have now,yes,no,male,no,yes,never had,"yes, sometimes",no,yes,no,no,yes,yes,yes,never had,never had,never had,no,9.0,2,2,yes,never had,never had,Low,4.318486801812073,-0.11620969844218897,-0.091835624296686,zimbabwe_yes,zimbabwe_no,-0.1634108887841689,-0.07555054999264874,-0.10728246910373733,-0.11605011945529765,5.162016507166741
ID_AMNJ8P,lesotho,0.3976961955287021,yes,no,no,no,yes,-0.12573539886621327,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,no,no,no,yes,have now,have now,have now,no,0.0,0,0,yes,used to have but don't have now,used to have but don't have now,Low,-1.5088247863945592,-0.10990296184713201,-0.07461016014573463,lesotho_yes,lesotho_no,-0.14537174455404653,-0.07341379046972996,-0.10171365506537515,-0.10977246803288662,-1.765474961516735
ID_LCUFVJ,zimbabwe,0.09724516979662648,no,no,no,no,no,-0.39012609984899393,0,have now,yes,yes,male,"yes, always",no,never had,"yes, sometimes",no,yes,yes,no,yes,yes,yes,never had,never had,never had,yes,4.0,0,0,yes,never had,never had,Medium,-0.6815131981879272,-0.11623817168037828,-0.09201112868351623,zimbabwe_yes,zimbabwe_yes,-0.16399528117131446,-0.075974212798409,-0.10726065547952165,-0.11607972089649163,-0.8152025734289943
ID_P1KFV4,zimbabwe,-0.7289951509665815,yes,yes,no,no,yes,-0.12573539886621327,0,have now,yes,no,female,"yes, sometimes",yes,never had,"yes, sometimes",no,no,no,no,yes,yes,yes,never had,never had,never had,no,0.0,0,0,yes,never had,never had,Low,-1.5088247863945592,-0.11613588268029026,-0.09177015960267276,zimbabwe_yes,zimbabwe_no,-0.16332975017833173,-0.07552937156324593,-0.10721702965854103,-0.1159766750403321,-1.8033685155127208
ID_GMTQ0H,zimbabwe,-0.5787696381005437,yes,yes,no,no,yes,-0.12573539886621327,3,have now,yes,yes,female,"yes, sometimes",no,never had,"yes, sometimes",don't know,yes,no,no,yes,yes,yes,never had,never had,never had,no,7.0,0,0,yes,never had,never had,Medium,5.491175213605441,-0.11613822934715783,-0.0920705752140217,zimbabwe_yes,zimbabwe_no,-0.16381668059484447,-0.07574117604364579,-0.10719521746173456,-0.11597965275882137,6.566951392323582
ID_TZK3NY,eswatini,-0.8041079073996005,yes,no,no,no,yes,-0.39012609984899393,0,never had,yes,yes,female,"yes, sometimes",no,never had,"yes, always",no,yes,no,no,yes,yes,yes,never had,never had,have now,no,9.0,0,0,yes,have now,never had,Low,4.318486801812073,-0.11413595478032969,-0.09135252661584385,eswatini_yes,eswatini_no,-0.1529377627095099,-0.06551998558041466,-0.10649747825284919,-0.11396442578710024,5.098193039068389
ID_65R96K,eswatini,-0.4285441252345059,yes,yes,no,yes,yes,-0.5223214503403844,0,have now,yes,yes,male,"yes, sometimes",yes,never had,"yes, sometimes",no,yes,no,yes,yes,yes,yes,never had,never had,never had,no,4.0,0,0,yes,used to have but don't have now,never had,Low,-2.2678574040846122,-0.11536374211101354,-0.09176239953628204,eswatini_yes,eswatini_no,-0.1634108887841689,-0.07561761797826898,-0.10649747825284919,-0.11520933363088001,-2.7108378219131866
ID_1AYAQR,malawi,-1.0294461766986571,yes,yes,no,yes,yes,0.6674367040821287,0,never had,no,no,female,no,no,never had,no,yes,don?t know / doesn?t apply,no,no,don't know,yes,no,never had,never had,never had,yes,0.0,0,0,yes,never had,never had,Low,8.009240448985544,-0.07870612369298424,-0.09541663072734133,malawi_no,malawi_no,-0.16278899431854288,-0.07165421873351656,-0.07305987579966615,-0.07869899047744384,9.56657329470524
ID_1PV9FA,zimbabwe,1.1488237598588913,yes,no,no,no,yes,-0.39012609984899393,0,have now,yes,yes,male,no,no,never had,"yes, always",no,yes,no,yes,yes,yes,yes,never had,never had,never had,no,1.0,0,0,yes,never had,never had,Low,-3.681513198187927,-0.11544758529681602,-0.0912710425070837,zimbabwe_yes,zimbabwe_no,-0.16170835905982414,-0.07436524813515438,-0.1067154694629217,-0.11528896170754781,-4.391685445006908
ID_84XYJO,eswatini,-0.7289951509665815,yes,yes,no,no,yes,-0.9189075018145554,0,never had,yes,no,male,"yes, sometimes",no,never had,"yes, sometimes",no,no,no,don't know,yes,yes,yes,never had,never had,have now,no,11.0,3,3,yes,never had,never had,Medium,-0.026890021774665485,-0.11303908302455028,-0.09211836182869612,eswatini_yes,eswatini_no,-0.1641075993855849,-0.0759883379836197,-0.10432017577996787,-0.11289919821176299,-0.03216923823556742
ID_PQV6UU,zimbabwe,-1.6303482281628083,yes,no,no,no,yes,-0.39012609984899393,0,have now,yes,yes,male,"yes, sometimes",yes,never had,no,yes,no,no,no,yes,yes,yes,never had,never had,never had,yes,0.0,0,0,yes,never had,never had,Low,-4.681513198187927,-0.11631891630279903,-0.09202886090187756,zimbabwe_yes,zimbabwe_no,-0.16401151916919574,-0.075974212798409,-0.10733482374334034,-0.11615998734018397,-5.59997333161271
ID_Z9LPHU,malawi,0.6981472212607778,yes,yes,no,no,yes,-0.25793074935760363,0,have now,yes,no,male,"yes, sometimes",no,never had,no,don?t know / doesn?t apply,don?t know / doesn?t apply,no,no,yes,yes,no,never had,never had,never had,no,0.0,0,0,yes,never had,never had,Low,-3.0951689922912435,-0.0880192477006348,-0.08980860460558983,malawi_yes,malawi_no,-0.1594158791877203,-0.07341379046972996,-0.08152761200429011,-0.08798707682647282,-3.682164480219179
ID_Q77YY5,zimbabwe,-1.0294461766986571,yes,no,no,no,no,0.006459951625177069,0,have now,yes,yes,male,no,yes,never had,no,no,yes,no,no,yes,yes,yes,never had,never had,never had,yes,3.0,0,0,yes,never had,never had,Low,3.0775194195021247,-0.1162647691774815,-0.0920011762325506,zimbabwe_yes,zimbabwe_no,-0.16381668059484447,-0.07580472613667594,-0.10730428320379758,-0.11610563940155619,3.6804362728634814
ID_NZ5X51,eswatini,-0.12809309950243025,no,yes,yes,yes,yes,-0.786712151323165,0,never had,yes,yes,female,no,no,never had,no,yes,no,no,don't know,yes,yes,yes,never had,never had,never had,no,4.0,0,0,yes,never had,never had,Low,-5.440545815877979,-0.11591284266710905,-0.09179018622960472,eswatini_yes,eswatini_no,-0.1621134604458255,-0.0742947387361962,-0.10715159449538553,-0.11575130765606602,-6.49317724900176
ID_29ASAJ,malawi,-0.5036568816675248,yes,no,no,no,no,-0.39012609984899393,0,have now,no,yes,female,"yes, sometimes",no,have now,yes,no,yes,no,no,yes,no,no,never had,never had,never had,yes,5.0,0,0,no,never had,never had,Medium,0.3184868018120728,0.03636977875790539,0.5220179771977492,malawi_no,malawi_no,0.6916998077468002,-0.046482348651436786,0.034746275604747544,0.036440096893440584,0.18826437193740067
ID_5YU3TT,malawi,-0.35343136880148696,yes,no,no,no,yes,-0.39012609984899393,0,used to have but don't have now,no,yes,male,"yes, sometimes",yes,never had,no,don?t know / doesn?t apply,yes,no,no,yes,yes,no,never had,never had,never had,yes,3.0,0,0,yes,never had,never had,Low,-1.6815131981879272,0.16178798477392484,0.45823948446477236,malawi_no,malawi_no,0.5951757929407565,-0.017755435503686308,0.15915565088393507,0.16203261044824277,-1.0541240693528862
ID_LUUJ7K,malawi,-1.6303482281628083,yes,no,no,no,yes,-0.6545168008317747,0,have now,no,yes,male,"yes, sometimes",yes,never had,yes,don?t know / doesn?t apply,yes,no,no,yes,no,no,never had,never had,never had,no,0.0,0,0,no,never had,never had,Medium,-7.8542016099812955,-0.006346577796977679,-0.038890112390762316,malawi_no,malawi_no,0.1649937720732766,0.2031467157392974,-0.007781733956880993,-0.006467817976878532,-6.741839997997239
ID_7DXJ17,lesotho,-1.254784445997714,yes,no,no,no,yes,-0.786712151323165,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,don't know,yes,no,yes,never had,never had,never had,no,0.0,0,0,yes,used to have but don't have now,used to have but don't have now,Low,-9.440545815877979,-0.11612118067908765,-0.09208141377959875,lesotho_yes,lesotho_no,-0.16407376727048856,-0.0759883379836197,-0.10715159449538553,-0.11596346550600788,-11.293515439816023
ID_3AH4EM,malawi,0.7732599776937966,yes,yes,no,no,no,0.1386553021165674,0,never had,no,no,male,no,no,never had,no,no,yes,no,no,don't know,no,no,never had,never had,never had,yes,0.0,0,0,no,never had,never had,Low,1.6638636253988088,-0.05999837763435965,-0.044837809554153556,malawi_no,malawi_no,-0.10502298192177777,-0.061161314719001277,-0.056336522043743655,-0.06000660489068138,1.8591132417809022
ID_SYM7D0,malawi,-0.20320585593544915,yes,no,no,no,no,-0.39012609984899393,0,never had,no,yes,male,no,yes,never had,yes,no,yes,no,no,yes,yes,no,never had,never had,never had,yes,0.0,0,0,no,never had,never had,Low,-4.681513198187927,0.13053311146934138,-0.1192154689972058,malawi_no,malawi_no,-0.15739745802946206,-0.04476949227871173,0.12516097596374234,0.13102698767684365,-5.556015992118404
ID_1M3JLZ,eswatini,-0.052980343069411344,no,no,no,yes,yes,-0.786712151323165,0,never had,yes,yes,female,"yes, sometimes",no,never had,no,yes,yes,no,don't know,yes,yes,yes,never had,never had,never had,no,3.0,0,0,yes,never had,never had,Low,-6.440545815877979,-0.11499193151721818,-0.0853945772047333,eswatini_yes,eswatini_no,-0.15645692056601113,-0.07451333405742233,-0.10627953455258782,-0.11483637578327033,-7.635111914141405
ID_YS0WI4,lesotho,-0.9543334202656383,yes,yes,no,yes,yes,-0.786712151323165,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,don't know,yes,no,yes,never had,never had,never had,yes,0.0,0,0,no,never had,never had,Low,-9.440545815877979,-0.11397788282532509,-0.09201076594965668,lesotho_yes,lesotho_no,-0.16393845025506168,-0.07591771405269027,-0.1051905279742668,-0.11383242550357107,-11.291687578214853
ID_N42X2E,eswatini,2.5759661320862506,yes,no,no,no,no,3.0469530129271547,0,have now,yes,yes,female,no,yes,never had,no,yes,yes,no,no,yes,yes,yes,never had,never had,have now,no,1.0,0,0,yes,never had,never had,Low,37.563436155125856,-0.11408927641731692,-0.08655721785253086,eswatini_yes,eswatini_no,-0.15203483458892803,-0.06902065271860747,-0.10606163834143317,-0.11392480257607217,44.29832460973329
ID_Q3Q5PC,lesotho,1.299049272724929,no,yes,no,no,yes,-0.6545168008317747,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,don't know,no,no,yes,never had,never had,never had,no,0.0,0,0,no,used to have but don't have now,used to have but don't have now,Low,-7.8542016099812955,-0.11634684794890053,-0.09207541837988041,lesotho_yes,lesotho_no,-0.16412654587001738,-0.07604660648170347,-0.10735227589900535,-0.11618797728554424,-9.396400341671727
ID_FTM6CM,zimbabwe,-0.052980343069411344,yes,no,no,no,yes,-0.39012609984899393,0,have now,yes,yes,female,no,yes,never had,no,don't know,yes,no,yes,yes,yes,yes,never had,never had,never had,yes,0.0,0,0,yes,never had,never had,Low,-4.681513198187927,-0.11620945054387273,-0.09224790129175217,zimbabwe_yes,zimbabwe_no,-0.1639790434371015,-0.07574117604364579,-0.10726065547952165,-0.1160504532922769,-5.599755797312613
ID_KK1R6L,lesotho,-0.6538823945335627,yes,yes,no,yes,yes,0.006459951625177069,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,no,yes,no,yes,never had,never had,never had,no,0.0,0,0,no,used to have but don't have now,used to have but don't have now,Low,0.07751941950212483,-0.11422551781932488,-0.09206213132812147,lesotho_yes,lesotho_no,-0.16407376727048856,-0.0760059947457139,-0.10540823443576827,-0.11407891591976248,0.09273476111522932
ID_LCSVFX,zimbabwe,-0.4285441252345059,no,yes,no,no,yes,0.7996320545735192,0,have now,yes,no,male,"yes, sometimes",no,never had,"yes, sometimes",don't know,do not know / n‎/a,no,no,yes,yes,yes,never had,never had,never had,no,0.0,0,0,yes,never had,never had,Low,9.59558465488223,-0.11634767662349446,-0.09206726863059711,zimbabwe_yes,zimbabwe_no,-0.16408729997917398,-0.07601482324367285,-0.10735663898551229,-0.11618870268286167,11.479170796954234
ID_HEYCE4,eswatini,-0.20320585593544915,yes,yes,yes,no,yes,0.006459951625177069,0,have now,yes,yes,male,no,yes,never had,"yes, sometimes",yes,yes,no,no,yes,yes,yes,never had,never had,never had,no,11.0,0,0,yes,never had,never had,Low,11.077519419502124,-0.11549319245974309,-0.09198571951664784,eswatini_yes,eswatini_no,-0.16389785872076143,-0.07590005884926472,-0.10658466903454096,-0.1153388981951632,13.249002571089568
ID_O5URTX,eswatini,-0.4285441252345059,no,yes,no,yes,yes,-0.9189075018145554,2,have now,yes,yes,male,"yes, sometimes",no,never had,"yes, always",yes,yes,no,no,yes,yes,yes,never had,have now,never had,no,7.0,0,3,yes,used to have but don't have now,never had,High,-4.0268900217746655,-0.10746231596616976,-0.09388916383365414,eswatini_yes,eswatini_no,-0.15003124178076102,-0.060291855679769,-0.10084632241078259,-0.10731664189601456,-4.737691806709887
ID_WNLEPH,lesotho,-1.7805737410288462,yes,yes,no,no,yes,-0.5223214503403844,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,no,yes,no,yes,never had,never had,never had,yes,0.0,0,0,no,never had,used to have but don't have now,Medium,-6.267857404084612,-0.11635159831217289,-0.09206211706522406,lesotho_yes,lesotho_no,-0.1641143659459598,-0.07604660648170347,-0.10735663898551229,-0.11619269947882535,-7.498462886227082
ID_K3FN3L,zimbabwe,3.026642670684364,no,no,no,yes,yes,3.0469530129271547,0,have now,yes,yes,male,"yes, sometimes",no,never had,no,yes,no,no,yes,yes,yes,yes,never had,never had,never had,no,3.0,0,0,yes,never had,never had,Low,39.563436155125856,-0.11629373858853713,-0.09186627818422922,zimbabwe_yes,zimbabwe_no,-0.16373550905828074,-0.07584709510914824,-0.10732609777972317,-0.11613456735538699,47.30971670287397
ID_0ABGB8,lesotho,-0.5036568816675248,no,yes,no,no,no,-0.786712151323165,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,don't know,yes,no,yes,never had,never had,never had,no,0.0,0,0,yes,used to have but don't have now,used to have but don't have now,Low,-9.440545815877979,-0.11490023514263037,-0.09202048562529094,lesotho_yes,lesotho_no,-0.16373550905828074,-0.07570587218140906,-0.10606163834143317,-0.11474879602637661,-11.288947358325546
ID_SXAAQF,zimbabwe,0.6981472212607778,yes,no,no,yes,yes,1.8571948585046418,0,have now,yes,yes,male,"yes, sometimes",no,never had,no,yes,no,no,no,yes,yes,yes,never had,never had,never had,no,2.0,0,0,yes,never had,never had,Low,24.286338302055704,-0.11632235935758947,-0.09205816263471346,zimbabwe_yes,zimbabwe_no,-0.16402775743075382,-0.07596361904043503,-0.10733918675370252,-0.116163377292825,29.05160849290279
ID_7A3B0C,zimbabwe,-0.27831861236846805,yes,no,no,no,yes,-0.6545168008317747,0,have now,yes,yes,female,"yes, sometimes",no,never had,no,don't know,do not know / n‎/a,no,no,yes,yes,yes,never had,never had,never had,yes,0.0,0,0,yes,never had,never had,Low,-7.8542016099812955,-0.11501444955109907,-0.08922445628806973,zimbabwe_yes,zimbabwe_no,-0.15203483458892803,-0.0665688995824136,-0.10719521746173456,-0.11483998916875487,-9.26241068661562
ID_IBRGE8,malawi,-0.9543334202656383,no,no,no,yes,yes,-0.39012609984899393,0,have now,yes,yes,female,"yes, sometimes",no,never had,no,no,yes,no,no,yes,yes,no,never had,never had,never had,yes,6.0,0,0,yes,have now,never had,Medium,1.3184868018120728,-0.09153750351137008,-0.08980646448277203,malawi_yes,malawi_no,-0.14803165533096174,-0.06203153037514958,-0.08578852124397753,-0.09146205232068139,1.547577219344061
ID_VHU4BA,eswatini,1.8999513241890802,yes,yes,no,yes,yes,1.0640227555562998,0,have now,yes,yes,female,no,yes,never had,no,yes,no,no,no,no,yes,yes,never had,never had,never had,no,5.0,0,0,yes,never had,used to have but don't have now,Low,17.768273066675597,-0.11612226773559148,-0.09213828025520336,eswatini_yes,eswatini_no,-0.1641346659018068,-0.07599716632569666,-0.10715159449538553,-0.11596457347354283,21.257339360586847
ID_YE5LLX,zimbabwe,-1.7054609845958273,yes,no,no,no,yes,-0.9189075018145554,0,have now,yes,yes,male,no,yes,never had,"yes, sometimes",no,yes,no,don't know,yes,yes,yes,never had,never had,never had,no,3.0,2,2,yes,never had,never had,Low,-8.026890021774665,-0.11630419012401642,-0.09062294240617733,zimbabwe_yes,zimbabwe_no,-0.1626808782277601,-0.07593183843986262,-0.10732609777972317,-0.11614521768450574,-9.586416711450749
ID_TPG7UV,malawi,-1.254784445997714,yes,no,no,no,yes,-0.39012609984899393,0,never had,no,yes,male,"yes, sometimes",no,never had,no,don?t know / doesn?t apply,don?t know / doesn?t apply,no,no,yes,no,no,never had,never had,never had,no,10.0,0,0,yes,never had,never had,Low,5.318486801812073,0.09451927464694898,0.3824127795814376,malawi_no,malawi_no,0.43029638111176327,-0.05163859170135376,0.08996987162350244,0.09486876082917352,3.7184508553940656
ID_BLZZBL,zimbabwe,-1.104558933131676,yes,no,no,yes,yes,-0.9189075018145554,0,have now,yes,yes,female,no,no,never had,no,no,yes,no,no,yes,yes,yes,never had,never had,never had,yes,3.0,0,3,yes,never had,never had,Medium,-8.026890021774665,-0.11635288409419901,-0.092074714528188,zimbabwe_yes,zimbabwe_no,-0.16411707258292998,-0.07603777770314306,-0.10735882053590448,-0.11619395029920551,-9.602887866819163
ID_GQ3A7C,zimbabwe,0.9234854905598345,yes,no,no,yes,yes,0.40304600309934807,0,have now,yes,yes,male,no,no,never had,"yes, always",yes,yes,no,yes,yes,yes,yes,never had,never had,never had,no,4.0,0,0,yes,never had,never had,Low,8.836552037192178,-0.1159046889436846,-0.09057851430472817,zimbabwe_yes,zimbabwe_no,-0.16170835905982414,-0.07500005654662324,-0.10706435427116198,-0.11574525493639493,10.541142969386703
ID_G3MWU4,eswatini,0.7732599776937966,yes,no,no,yes,yes,-0.786712151323165,0,have now,yes,yes,female,"yes, sometimes",yes,never had,"yes, sometimes",no,yes,no,don't know,yes,yes,yes,never had,never had,used to have but don't have now,no,10.0,0,3,yes,never had,never had,Medium,0.5594541841220213,-0.11562907822968105,-0.09208788531929674,eswatini_yes,eswatini_no,-0.16393845025506168,-0.07584709510914824,-0.1067154694629217,-0.11547382353954236,0.6691543036427126
ID_TIVEH8,malawi,-1.4050099588637517,yes,no,no,no,yes,0.40304600309934807,0,never had,no,yes,male,no,yes,never had,yes,don?t know / doesn?t apply,yes,no,no,yes,yes,no,never had,never had,never had,yes,0.0,0,0,yes,never had,never had,Low,4.836552037192177,0.40523114342737093,-0.05036563595637227,malawi_no,malawi_no,0.03741338337951445,0.0865517116531447,0.4349082052313061,0.40026461747468123,4.662126125109793
ID_DR756S,lesotho,1.5995002984570046,no,yes,no,no,yes,3.443539064401326,0,have now,yes,yes,female,"yes, sometimes",yes,never had,no,no,yes,no,yes,don't know,no,yes,never had,never had,never had,yes,0.0,0,0,no,used to have but don't have now,used to have but don't have now,Low,41.32246877281591,-0.11587942008934363,-0.09204608747466435,lesotho_yes,lesotho_no,-0.16400610647393832,-0.07595302539468755,-0.1069335082035233,-0.11572302181845001,49.429151448135194
ID_D4KUC8,zimbabwe,-0.8792206638326193,yes,no,no,no,no,-0.5223214503403844,0,have now,yes,yes,male,"yes, sometimes",yes,never had,"yes, always",no,yes,no,no,yes,yes,yes,never had,never had,never had,no,0.0,0,0,yes,never had,never had,Low,-6.267857404084612,-0.11627260525241835,-0.09184314706806997,zimbabwe_yes,zimbabwe_no,-0.16373550905828074,-0.07586828026857709,-0.10730428320379758,-0.11611362418658569,-7.495065821850649
ID_X9MY4I,malawi,-0.4285441252345059,no,yes,no,no,yes,0.5352413535907384,0,have now,no,yes,female,"yes, sometimes",yes,never had,no,don?t know / doesn?t apply,yes,no,no,yes,no,no,never had,never had,never had,yes,0.0,0,0,no,have now,never had,Low,6.422896243088861,0.12692976576366463,-0.05005014294952127,malawi_no,malawi_no,-0.0936074104979212,-0.04476949227871173,0.12169707382602564,0.12740074028449447,7.086218838811601
ID_KHBEDB,malawi,0.9985982469928534,yes,yes,no,yes,no,-0.39012609984899393,0,never had,no,yes,male,"yes, sometimes",yes,never had,no,don?t know / doesn?t apply,yes,no,no,yes,no,no,never had,never had,never had,yes,3.0,0,0,yes,never had,never had,Low,-1.6815131981879272,-0.04820415764454165,-0.09257980249857865,malawi_no,malawi_no,-0.09108821721612972,-0.0025465261309441795,-0.04807856565052204,-0.04820131154992972,-1.8500290457646904
